LocalDateTime,UUID,URL,Title
LDT:2018-04-15T18:35:26.286399,UUID:785f6d59-e8d1-4780-8a74-50ea17155ea6,URL:http://www.bing.com/,T:Bing

BROWSER RESUMED @ 2018-04-15T18:40:07.261773
LDT:2018-04-15T18:40:07.246001,UUID:a9772631-25f5-42b0-b273-5cb3cab8dc9b,URL:http://www.bing.com/,T:Bing

BROWSER RESUMED @ 2018-04-15T18:44:25.471924
LDT:2018-04-15T18:44:25.450924,UUID:f341710d-0d84-475d-b86c-c5544c7303d4,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T19:09:13.216526
BROWSER RESUMED @ 2018-04-15T19:13:47.826
LDT:2018-04-15T19:13:47.806614,UUID:66612920-bef2-456c-8bbc-3d03f0844024,URL:http://www.bing.com/,T:Bing

BROWSER RESUMED @ 2018-04-15T19:14:19.004899
LDT:2018-04-15T19:14:18.984935,UUID:7000a121-5695-459f-83b5-be8f2bb46a84,URL:http://www.bing.com/,T:Bing

BROWSER RESUMED @ 2018-04-15T19:19:42.231610
LDT:2018-04-15T19:19:42.206552,UUID:ffea6c0f-bbbf-4713-8da3-0f209dd52949,URL:http://www.bing.com/,T:Bing

BROWSER RESUMED @ 2018-04-15T19:21:34.927040
LDT:2018-04-15T19:21:34.904280,UUID:4715a47d-1f43-449e-bc83-89ec60dd81a2,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T19:22:21.358028
BROWSER RESUMED @ 2018-04-15T19:23:21.934927
LDT:2018-04-15T19:23:21.911213,UUID:d6bcdca9-7a9d-4a43-8dc8-d0fe889b7d28,URL:http://www.bing.com/,T:Bing

BROWSER RESUMED @ 2018-04-15T19:42:50.341876
LDT:2018-04-15T19:42:50.313841,UUID:cd7a4025-ed0b-495c-b728-ba798d59f615,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T19:49:26.077093
BROWSER RESUMED @ 2018-04-15T19:49:36.901906
LDT:2018-04-15T19:49:36.886307,UUID:16c00e19-58d5-448d-91a1-2aa7a410c1b1,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T19:49:55.118447
BROWSER RESUMED @ 2018-04-15T19:50:14.340422
LDT:2018-04-15T19:50:14.305987,UUID:c022b450-ec31-4466-9a70-ec629b65bad1,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T19:50:31.847858
BROWSER RESUMED @ 2018-04-15T20:02:45.677673
LDT:2018-04-15T20:02:45.662048,UUID:e833883d-201b-49ae-949b-3045cd6a9937,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T20:03:30.143561
BROWSER RESUMED @ 2018-04-15T20:03:39.437292
LDT:2018-04-15T20:03:39.413058,UUID:efea43d3-4412-48a1-bf42-0913dbc92b97,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T20:03:57.339169
BROWSER RESUMED @ 2018-04-15T20:57:11.803290
LDT:2018-04-15T20:57:11.776214,UUID:d8a25e66-69b2-4f9e-8a86-08c875233875,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T20:57:42.309235
BROWSER RESUMED @ 2018-04-15T21:22:47.184018
LDT:2018-04-15T21:22:47.151930,UUID:cce7ebb5-fed6-462b-9d14-100695ea0127,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T21:23:00.317387
BROWSER RESUMED @ 2018-04-15T21:23:43.542674
LDT:2018-04-15T21:23:43.519875,UUID:adbdb54f-e8a0-44ed-ada6-53c81b1b30f4,URL:http://www.bing.com/,T:Bing

BROWSER RESUMED @ 2018-04-15T21:36:14.280806
LDT:2018-04-15T21:36:14.259403,UUID:e3456ad4-887d-4349-8dc8-32a4cf88859d,URL:http://www.bing.com/,T:Bing
BROWSER CLOSED @ 2018-04-15T21:40:16.579062
BROWSER RESUMED @ 2018-04-15T21:40:29.841254
